mean_rp,rel_std_rp,k,Df,Np,agg_num,Rve,Rg,eps_agg,h5_file,h5_key
0.015,0.1,0.95,2.4,850,3,0.14409730020022526,0.2649256893626008,0.9252136757382114,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.40/00850/3
0.015,0.1,0.95,2.4,900,3,0.14607960046811375,0.2684417084217008,0.925106244176014,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.40/00900/3
0.015,0.1,0.95,2.4,950,3,0.14941667717617063,0.27662965169715115,0.9267634448640183,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.40/00950/3
0.015,0.1,0.95,2.4,1000,3,0.1503474069534864,0.2800953109896499,0.9281218009916009,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.40/01000/3
0.015,0.1,0.95,2.4,1050,3,0.15344533058484183,0.28552243638071784,0.9278614872113308,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.40/01050/3
0.015,0.1,0.95,2.4,1100,3,0.15667516654903,0.2918954645400396,0.9281303831244986,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.40/01100/3
0.015,0.1,0.95,2.4,1150,3,0.15859178635027063,0.29817453915026515,0.9300710063462794,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.40/01150/3
0.015,0.1,0.95,2.4,1200,3,0.16090297054626684,0.30314507539600444,0.9305027677397546,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.40/01200/3
0.015,0.1,0.95,2.4,1250,3,0.16294434099667088,0.3105272659466892,0.9328500794143479,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.40/01250/3
0.015,0.1,0.95,2.4,1300,3,0.16530952477333694,0.31413065351831515,0.9322686777017829,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.40/01300/3
0.015,0.1,0.95,2.4,1350,3,0.16706575338131413,0.31843803719656383,0.9328858087673179,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.40/01350/3
0.015,0.1,0.95,2.4,1400,3,0.16932754687434895,0.3241130880963414,0.9337295348144584,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.40/01400/3
0.015,0.1,0.95,2.4,1450,3,0.1719442996193229,0.3297457167553168,0.9341049587735548,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.40/01450/3
0.015,0.1,0.95,2.4,1500,3,0.1725234029139181,0.3304913371705116,0.9338864188563754,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.40/01500/3
0.015,0.1,0.95,2.4,1550,3,0.17539887455610131,0.33791909475117266,0.9350066259379693,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.40/01550/3
0.015,0.1,0.95,2.4,1600,3,0.1768756469564816,0.34152673256545024,0.9354409858046181,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.40/01600/3
0.015,0.1,0.95,2.4,1650,3,0.17941284169769423,0.3461533371311467,0.9352884381273986,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.40/01650/3
0.015,0.1,0.95,2.4,1700,3,0.18070912875916784,0.3497649564990772,0.935902916683686,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.40/01700/3
0.015,0.1,0.95,2.4,1750,3,0.18258768745216108,0.3559544336874709,0.9372724797003605,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.40/01750/3
0.015,0.1,0.95,2.4,1800,3,0.18418187588953086,0.35836089843799357,0.9369034372568571,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.40/01800/3
0.015,0.1,0.95,2.4,1850,3,0.1864431810563023,0.3633576270728923,0.9372138944234208,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.40/01850/3
0.015,0.1,0.95,2.4,1900,3,0.18707363136799546,0.3669013925648892,0.9383949201176043,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.40/01900/3
0.015,0.1,0.95,2.4,1950,3,0.1891408470771175,0.37052161624130325,0.9381781189321611,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.40/01950/3
0.015,0.1,0.95,2.4,2000,3,0.19029792787800023,0.3746395128593827,0.9390900401200638,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.40/02000/3
0.015,0.1,0.95,2.4,2050,3,0.19159367104206382,0.37706279731411974,0.939028160637608,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.40/02050/3
0.015,0.1,0.95,2.4,2100,3,0.19359963900220062,0.3837393888855141,0.9403196493332326,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.40/02100/3
0.015,0.1,0.95,2.4,2150,3,0.19528333664176734,0.38695739296557924,0.9402644329084989,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.40/02150/3
0.015,0.1,0.95,2.4,2200,3,0.19756302232321832,0.3920026182390954,0.9405054811633856,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.40/02200/3
0.015,0.1,0.95,2.4,2250,3,0.1980360311483121,0.3928380109571637,0.9404586047507371,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.40/02250/3
0.015,0.1,0.95,2.4,2300,3,0.20054037408105732,0.3976886565752136,0.940405973889567,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.40/02300/3
0.015,0.1,0.95,2.4,2350,3,0.20043675924923687,0.3998275050254686,0.9414481001016377,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.40/02350/3
0.015,0.1,0.95,2.4,2400,3,0.2029383974037959,0.40563506366771446,0.9418013262413112,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.40/02400/3
0.015,0.1,0.95,2.4,2450,3,0.20426722303157083,0.40684893244380677,0.9411802210995739,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.40/02450/3
0.015,0.1,0.95,2.4,2500,3,0.20484965027148483,0.41352510747078836,0.9435028023657548,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.40/02500/3
0.015,0.1,0.95,2.4,2550,3,0.20725156323570104,0.41596180583588455,0.9425142825887999,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.40/02550/3
0.015,0.1,0.95,2.4,2600,3,0.20775241855898915,0.4182867951627459,0.9430566941232689,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.40/02600/3
0.015,0.1,0.95,2.4,2650,3,0.20946746122256155,0.42084196133560525,0.9426914428056323,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.40/02650/3
0.015,0.1,0.95,2.4,2700,3,0.2105421688557535,0.42460886639527406,0.9433399469099174,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.40/02700/3
0.015,0.1,0.95,2.4,2750,3,0.2120137813163249,0.4279923261357525,0.9435048450067892,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.40/02750/3
0.015,0.1,0.95,2.4,2800,3,0.2142119844496594,0.4325592855011851,0.9435555492321981,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.40/02800/3
0.015,0.1,0.95,2.45,350,3,0.10679151281188351,0.1741259970303811,0.8927872974891466,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.45/00350/3
0.015,0.1,0.95,2.45,400,3,0.1109493527512676,0.18062783983466155,0.8922922062089287,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.45/00400/3
0.015,0.1,0.95,2.45,450,3,0.11564743246844131,0.19092707729421665,0.8967161809621069,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.45/00450/3
0.015,0.1,0.95,2.45,500,3,0.12038078217502096,0.19810513111824737,0.8957175598054682,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.45/00500/3
0.015,0.1,0.95,2.45,550,3,0.1244341421550103,0.2089445292258712,0.9018359345466692,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.45/00550/3
0.015,0.1,0.95,2.45,600,3,0.12740337434545893,0.2137174260518435,0.9015422600586439,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.45/00600/3
0.015,0.1,0.95,2.45,650,3,0.13136493605264876,0.2239773551947652,0.9062323750809819,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.45/00650/3
0.015,0.1,0.95,2.45,700,3,0.13474564162362687,0.22821298396355966,0.904335675969186,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.45/00700/3
0.015,0.1,0.95,2.45,750,3,0.13775558496438373,0.23511748144145544,0.9065240777745321,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.45/00750/3
0.015,0.1,0.95,2.45,800,3,0.14012595768478597,0.24044318187199257,0.9080090174867742,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.45/00800/3
0.015,0.1,0.95,2.45,850,3,0.14253261313126778,0.24468713437714829,0.908137932996034,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.45/00850/3
0.015,0.1,0.95,2.45,900,3,0.14609152470077136,0.2523845914337258,0.9098608559019101,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.45/00900/3
0.015,0.1,0.95,2.45,950,3,0.14925747593606828,0.2604478666659316,0.9125272578234219,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.45/00950/3
0.015,0.1,0.95,2.45,1000,3,0.15134959355380875,0.26472525732335006,0.9131470617667283,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.45/01000/3
0.015,0.1,0.95,2.45,1050,3,0.15419577695736483,0.2723465685765503,0.9156512616189636,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.45/01050/3
0.015,0.1,0.95,2.45,1100,3,0.15603490300613687,0.27567553876029854,0.9157252553006792,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.45/01100/3
0.015,0.1,0.95,2.45,1150,3,0.1586789283599198,0.2807671069407465,0.9161030889705766,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.45/01150/3
0.015,0.1,0.95,2.45,1200,3,0.16076682469709452,0.28429344327061634,0.9159542712616582,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.45/01200/3
0.015,0.1,0.95,2.45,1250,3,0.1627027995357567,0.28873864759109324,0.9168433091454139,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.45/01250/3
0.015,0.1,0.95,2.45,1300,3,0.16399976351519946,0.2918854230514064,0.9175635424138593,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.45/01300/3
0.015,0.1,0.95,2.45,1350,3,0.16698043364066126,0.299695993493889,0.9196139261008973,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.45/01350/3
0.015,0.1,0.95,2.45,1400,3,0.16998543319070628,0.30316529345197174,0.9180736606450987,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.45/01400/3
0.015,0.1,0.95,2.45,1450,3,0.1717375564480005,0.3082909301975402,0.9196584013703513,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.45/01450/3
0.015,0.1,0.95,2.45,1500,3,0.1731620129090439,0.31193150078983567,0.9204926921822095,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.45/01500/3
0.015,0.1,0.95,2.45,1550,3,0.17561535599090475,0.3191442453100687,0.9225621498694854,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.45/01550/3
0.015,0.1,0.95,2.45,1600,3,0.17686983891876906,0.31971419849781696,0.9213130982897964,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.45/01600/3
0.015,0.1,0.95,2.45,1650,3,0.17925889234557968,0.3256089076866432,0.9224502916042455,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.45/01650/3
0.015,0.1,0.95,2.45,1700,3,0.18141607428489245,0.3289900210698238,0.9220697633856502,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.45/01700/3
0.015,0.1,0.95,2.45,1750,3,0.18239052905205774,0.3333388281341344,0.9238664620821165,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.45/01750/3
0.015,0.1,0.95,2.45,1800,3,0.1840269135315282,0.3364973619414547,0.9239803420875025,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.45/01800/3
0.015,0.1,0.95,2.45,1850,3,0.1857395289176334,0.33922137899269594,0.9237060239164421,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.45/01850/3
0.015,0.1,0.95,2.45,1900,3,0.1877663549491565,0.3432888996825195,0.9239497019910359,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.45/01900/3
0.015,0.1,0.95,2.45,1950,3,0.188752210709458,0.3465973905076961,0.9249367869398275,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.45/01950/3
0.015,0.1,0.95,2.45,2000,3,0.19061715275615132,0.3508885722701642,0.9254916172022244,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.45/02000/3
